Title,Title_URL,Image,Info,badgetext,ratingdate,partial_entry,View,Number,note,viamobile,talnk
Nice authentic flavor,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r138062999-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/08/2e/97/7a/rkk27.jpg,Raymond H,151 reviews,Reviewed 23 August 2012 ,"A little on the expensive side. Been here twice as they served mega delicious laksa. Been craving for laksa and this restaurant granted my cravings. Waiters were a little dreamy, nonetheless a cozy feel home away from home with familiar dishes albeit the pricey dishes",Date of visit: August 2012,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
"Lovely place, amazing food",https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r134341279-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e5/2b/default-avatar-2020-52.jpg,AussiefamilyTravels,21 reviews,Reviewed 14 July 2012 ,"I was a regular here when I lived here. Unfortunately don't go as often now. VERY good service, must try the Rasa Special Chicken. Comes with amazing sauce. Great laksas too.",,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Beautiful food,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r121544240-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e3/6a/default-avatar-2020-47.jpg,colinbK886LP,17 reviews,Reviewed 9 December 2011 ,Beautiful Malaysian food and great service. The owners Eddie and Swee are very friendly and accommodating. Would definitely recommend this restaurant to my friends,,2  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
The taste is 80% close to home.....,https://www.tripadvisor.com.au/ShowUserReviews-g1009368-d727866-r53187987-Rasa_Rasa-Malvern_Stonnington_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/e7/7b/default-avatar-2020-56.jpg,,,Reviewed 10 January 2010 ,The taste is 80% close to home.....,,1  ,This review is the subjective opinion of an individual contributor and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Delicious food .great variaty,https://www.tripadvisor.com.au/ShowUserReviews-g4400664-d5092029-r706259872-Baan_Thai_Restaurant-Rosanna_Banyule_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f0/48/default-avatar-2020-15.jpg,Carol R,3 reviews,Reviewed 4 September 2019 ,Nice local experience.Fast and friendly service .Great prices .Was there so far several times and will always go back or even have take away.,Date of visit: May 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Exceptional journey of Thai cuisine,https://www.tripadvisor.com.au/ShowUserReviews-g4400664-d5092029-r692024130-Baan_Thai_Restaurant-Rosanna_Banyule_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/f4/20/default-avatar-2020-31.jpg,martinsmith76,4 reviews,Reviewed 23 July 2019 ,"We cannot recommend this venue enough to do it justice.  An exceptional journey of Thai food of passion and flavour, modest prices and Wines to complement at value, we now have a real gem on Newcastle street from basic mundane eateries. Any negative reviews are...from local competition that should be scared from this restaurant. A dining experience to relish.More",Date of visit: July 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Best Thai around,https://www.tripadvisor.com.au/ShowUserReviews-g4400664-d5092029-r661048980-Baan_Thai_Restaurant-Rosanna_Banyule_Greater_Melbourne_Victoria.html,https://media-cdn.tripadvisor.com/media/photo-l/1a/f6/ea/74/default-avatar-2020-68.jpg,129cassiem,97 reviews,Reviewed 25 March 2019 ,"Been having Thai here for years, best Thai around! So delicious. Friendly staff and a great environment to dine in also. Highly recommended.",Date of visit: March 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Good food with fast and friendly service,https://www.tripadvisor.com.au/ShowUserReviews-g4400664-d5092029-r650635891-Baan_Thai_Restaurant-Rosanna_Banyule_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",215damianw,2 reviews,Reviewed 7 February 2019 ,"The food with well presented and tasted great. 

The premises are clean.  

The service was attentive, fast and friendly.

Will happily go back again.",Date of visit: January 2019,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
Excellent food and service,https://www.tripadvisor.com.au/ShowUserReviews-g4400664-d5092029-r633485106-Baan_Thai_Restaurant-Rosanna_Banyule_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Kerog,388 reviews,Reviewed 15 November 2018 ,We were there on a very quiet week night. The menu is very extensive and we started with two entrees-fish cakes and curry puff vegetables Drinks were brought quickly to the table. Nice cold beer and a nice cold glass. There was an extensive wine...and beer list. Our mains consisted of an excellent prawn and noodle dish and a chicken stir fry dish. There was a generous bowl of steamed rice which plenty for two. It was the smallest serve. The roti was excellent and came with a peanut sauce. The service was excellent and the waitress kept up the cold water. It was well worth the money and we will returnMore,Date of visit: November 2018,1  ,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
"westernised Thai, sweet & expensive",https://www.tripadvisor.com.au/ShowUserReviews-g4400664-d5092029-r621619077-Baan_Thai_Restaurant-Rosanna_Banyule_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",234kaliz,22 reviews,Reviewed 3 October 2018 ,"went here for a 'date', the atmosphere was nice enough with dim lighting and nice tables but the service was slow, their english was poor so getting the point across to remove an ingredient from the meal took patience.. basically Rosanna shops are all owned...by asians now so the milk bar (which Tony Mockbell owns), the fish n chip shop, the manicure shop, noodle box in fact all the food shops all asians cept for the servo which is of course is all indians.. dont come to our country and try to rip us off, I know what that dish costs in Thailand so dont take the piss and charge 10 times that amount, $35 for a dish to eat in costs about $10 more than take away too, no thanks, wont be going back again. if u wanna go on a date go there, try it once, i bet u wont go back...More",Date of visit: December 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Dinner with family,https://www.tripadvisor.com.au/ShowUserReviews-g4400664-d5092029-r611195324-Baan_Thai_Restaurant-Rosanna_Banyule_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Sid O,2 reviews,Reviewed 28 August 2018 ,"I took our family there for dinner. Two adults and two kids. The food was great and the service was friendly. I quite liked the use of authentic thai cutlery and service pots etc. The meal portions were spot on, not too much and didn't...leave me hungry. I'll be back.More",Date of visit: March 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Awesome food,https://www.tripadvisor.com.au/ShowUserReviews-g4400664-d5092029-r564154880-Baan_Thai_Restaurant-Rosanna_Banyule_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",129cassiem,97 reviews,Reviewed 4 March 2018 ,I absolutely love Baan Thai! By far the best Thai in the area. So delicious. Never had a bad experience and the service is great!,Date of visit: March 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,via mobile ,
Food yummy service a bit slow,https://www.tripadvisor.com.au/ShowUserReviews-g4400664-d5092029-r562428697-Baan_Thai_Restaurant-Rosanna_Banyule_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",speccy1999,69 reviews,Reviewed 24 February 2018 ,Food was delicious cut on the day we went service was a bit slow. When we tried to get someone’s attention we were told twice they would be back and didn’t come back. Maybe it was just a bad day for them?,Date of visit: December 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,
"Quiet, good menu, friendly staff",https://www.tripadvisor.com.au/ShowUserReviews-g4400664-d5092029-r555310186-Baan_Thai_Restaurant-Rosanna_Banyule_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Seeker43,63 reviews,Reviewed 22 January 2018 ,"Small restaurant in Rosanna. Have to look caefully to find it. Temperature control very good, padded seats (not wooden bum abusers,) quiet unobtrusive but attentive staff, good menu choices which seem to me to be the genuine article. Amazing wine list with some good vintage...wines. Reasonable food prices, but wine prices commensurate with what one would expect in choosing good wine. Generous serves of food. Parking is on street so could be a problem in peak shopping times but we were there about 8:30 and it was no problemMore",Date of visit: January 2018,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
Great place for an intimate dinner,https://www.tripadvisor.com.au/ShowUserReviews-g4400664-d5092029-r461312981-Baan_Thai_Restaurant-Rosanna_Banyule_Greater_Melbourne_Victoria.html,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",roy k,7 reviews,Reviewed 20 February 2017 ,"So I was looking for a place close to home to celebrate my wife's birthday.
We were lucky to discover this gem!
Plenty of seating so not crowded or noisy.
A menu with everything.
We started with entrees of Chicken satay and vegetable curry puffs....For Mains we had Pad Preaw Wann - Stir Fried with Thai sweet & sour sauce & vegetables 
and Tom Yum Haeng - Prawns cooked in a clay pot with lemongrass, mushroom, onion, & special tom yum sauce. The flavours were spot on and one could tell that it was definitely cooked in a clay pot.
The staff was attentive but not intrusive.
Prices were reasonable for the quality of the food.
We had a great night and will come again.
Delicious food that always leaves me looking forward to my next visit.More",Date of visit: January 2017,,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.,,More
